Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
rf,['morgan'],1024,0.8921,0.9003
rf,"['rdkit', 'maccs']",1024,0.8732,0.8636
rf,"['rdkit', 'mordred']",1024,0.8444,0.8363
rf,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.8602,0.8107
rf,"['rdkit', 'morgan']",1024,0.8682,0.8675
rf,['rdkit'],1024,0.8702,0.8643
lr,['maccs'],1024,0.8332,0.8388
lr,['mordred'],1024,0.8626,0.857
lr,"['morgan', 'maccs']",1024,0.9007,0.904
lr,"['morgan','mordred']",1024,0.8416,0.8545
lr,['morgan'],1024,0.8699,0.9046
lr,"['rdkit', 'maccs']",1024,0.8591,0.8709
lr,"['rdkit', 'mordred']",1024,0.8096,0.8224
lr,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.9009,0.8898
lr,"['rdkit', 'morgan']",1024,0.8822,0.9062
lr,['rdkit'],1024,0.8287,0.853
knn,['maccs'],1024,0.8751,0.8606
knn,['mordred'],1024,0.8574,0.8664
knn,"['morgan', 'maccs']",1024,0.9017,0.8824
knn,"['morgan','mordred']",1024,0.8711,0.8878
knn,['morgan'],1024,0.8482,0.8474
knn,"['rdkit', 'maccs']",1024,0.8824,0.8819
knn,"['rdkit', 'mordred']",1024,0.8217,0.8386
knn,"['rdkit', 'morgan','mordred', 'maccs']",1024,0.8489,0.8493
knn,"['rdkit', 'morgan']",1024,0.9189,0.9021
